sample_name,fastq_path,type,flowcell,treatment,sct,sct_v1
HCC3,/data/project/stemcell/shannc/HCC/scRNASeq/HCC3/HG7VCCCX2,tumor,HG7VCCCX2,control,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCC3/processed/HCC3_tumor-control_SCT.h5ad,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCC3/processed/HCC3_tumor-control_SCT_v1.h5ad
HCC5,/data/project/stemcell/shannc/HCC/scRNASeq/HCC5/HG7VCCCX2,tumor,HG7VCCCX2,control,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCC5/processed/HCC5_tumor-control_SCT.h5ad,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCC5/processed/HCC5_tumor-control_SCT_v1.h5ad
HCC8,/data/project/stemcell/shannc/HCC/scRNASeq/HCC8/HG7VCCCX2,tumor,HG7VCCCX2,control,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCC8/processed/HCC8_tumor-control_SCT.h5ad,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCC8/processed/HCC8_tumor-control_SCT_v1.h5ad
HCC19,/data/project/stemcell/shannc/HCC/scRNASeq/HCC19/HG7VCCCX2,tumor,HG7VCCCX2,control,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCC19/processed/HCC19_tumor-control_SCT.h5ad,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCC19/processed/HCC19_tumor-control_SCT_v1.h5ad
HCCN1,/data/project/stemcell/shannc/HCC/scRNASeq/HCCN1/HGL5KCCX2,tumor,HGL5KCCX2,control,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCCN1/processed/HCCN1_tumor-control_SCT.h5ad,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCCN1/processed/HCCN1_tumor-control_SCT_v1.h5ad
HCCN13,/data/project/stemcell/shannc/HCC/scRNASeq/HCCN13/HGL5KCCX2,tumor,HGL5KCCX2,control,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCCN13/processed/HCCN13_tumor-control_SCT.h5ad,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCCN13/processed/HCCN13_tumor-control_SCT_v1.h5ad
HCCN14,/data/project/stemcell/shannc/HCC/scRNASeq/HCCN14/HGL5KCCX2,tumor,HGL5KCCX2,control,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCCN14/processed/HCCN14_tumor-control_SCT.h5ad,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCCN14/processed/HCCN14_tumor-control_SCT_v1.h5ad
HCCN17,/data/project/stemcell/shannc/HCC/scRNASeq/HCCN17/HGL5KCCX2,tumor,HGL5KCCX2,control,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCCN17/processed/HCCN17_tumor-control_SCT.h5ad,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCCN17/processed/HCCN17_tumor-control_SCT_v1.h5ad
HCCN22,/data/project/stemcell/shannc/HCC/scRNASeq/HCCN22/HGL5KCCX2,tumor,HGL5KCCX2,control,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCCN22/processed/HCCN22_tumor-control_SCT.h5ad,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/HCCN22/processed/HCCN22_tumor-control_SCT_v1.h5ad
H8,/data/project/stemcell/shannc/HCC/scRNASeq/H8_c_control/HHGVNCCX2,tumor,HHGVNCCX2,control,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/H8/processed/H8_tumor-control_SCT.h5ad,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/H8/processed/H8_tumor-control_SCT_v1.h5ad
H8,/data/project/stemcell/shannc/HCC/scRNASeq/H8_c_Oligo/HHGVNCCX2,tumor,HHGVNCCX2,oligomycin,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/H8/processed/H8_tumor-oligomycin_SCT.h5ad,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/H8/processed/H8_tumor-oligomycin_SCT_v1.h5ad
H8,/data/project/stemcell/shannc/HCC/scRNASeq/H8_c_IACS/HHGVNCCX2,tumor,HHGVNCCX2,iacs,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/H8/processed/H8_tumor-iacs_SCT.h5ad,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/H8/processed/H8_tumor-iacs_SCT_v1.h5ad
H8,/data/project/stemcell/shannc/HCC/scRNASeq/H8_c_PP/HHGVNCCX2,tumor,HHGVNCCX2,pp,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/H8/processed/H8_tumor-pp_SCT.h5ad,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/H8/processed/H8_tumor-pp_SCT_v1.h5ad
H19,/data/project/stemcell/shannc/HCC/scRNASeq/H19_c_control/HHGVNCCX2,tumor,HHGVNCCX2,control,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/H19/processed/H19_tumor-control_SCT.h5ad,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/H19/processed/H19_tumor-control_SCT_v1.h5ad
H19,/data/project/stemcell/shannc/HCC/scRNASeq/H19_c_IACS/HHGVNCCX2,tumor,HHGVNCCX2,iacs,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/H19/processed/H19_tumor-iacs_SCT.h5ad,/data/project/stemcell/shannc/output/HCC/SCRNASEQ/H19/processed/H19_tumor-iacs_SCT_v1.h5ad
