Signature,Proposed_Aetiology,Link,Collection
SBS1,Spontaneous deamination of 5-methylcytosine (clock-like signature),https://cancer.sanger.ac.uk/signatures/sbs/sbs1,SBS
SBS2,Activity of APOBEC family of cytidine deaminases,https://cancer.sanger.ac.uk/signatures/sbs/sbs2,SBS
SBS3,Defective homologous recombination DNA damage repair,https://cancer.sanger.ac.uk/signatures/sbs/sbs3,SBS
SBS4,Tobacco smoking,https://cancer.sanger.ac.uk/signatures/sbs/sbs4,SBS
SBS5,Unknown (clock-like signature),https://cancer.sanger.ac.uk/signatures/sbs/sbs5,SBS
SBS6,Defective DNA mismatch repair,https://cancer.sanger.ac.uk/signatures/sbs/sbs6,SBS
SBS7a,Ultraviolet light exposure,https://cancer.sanger.ac.uk/signatures/sbs/sbs7a,SBS
SBS7b,Ultraviolet light exposure,https://cancer.sanger.ac.uk/signatures/sbs/sbs7b,SBS
SBS7c,Ultraviolet light exposure,https://cancer.sanger.ac.uk/signatures/sbs/sbs7c,SBS
SBS7d,Ultraviolet light exposure,https://cancer.sanger.ac.uk/signatures/sbs/sbs7d,SBS
SBS8,Unknown,https://cancer.sanger.ac.uk/signatures/sbs/sbs8,SBS
SBS9,Polimerase eta somatic hypermutation activity,https://cancer.sanger.ac.uk/signatures/sbs/sbs9,SBS
SBS10a,Polymerase epsilon exonuclease domain mutations,https://cancer.sanger.ac.uk/signatures/sbs/sbs10a,SBS
SBS10b,Polymerase epsilon exonuclease domain mutations,https://cancer.sanger.ac.uk/signatures/sbs/sbs10b,SBS
SBS10c,Defective POLD1 proofreading,https://cancer.sanger.ac.uk/signatures/sbs/sbs10c,SBS
SBS10d,Defective POLD1 proofreading,https://cancer.sanger.ac.uk/signatures/sbs/sbs10d,SBS
SBS11,Temozolomide treatment,https://cancer.sanger.ac.uk/signatures/sbs/sbs11,SBS
SBS12,Unknown,https://cancer.sanger.ac.uk/signatures/sbs/sbs12,SBS
SBS13,Activity of APOBEC family of cytidine deaminases,https://cancer.sanger.ac.uk/signatures/sbs/sbs13,SBS
