patient,fastq_1,fastq_2,source,read_group_platform_unit,read_group_platform,read_group_library,read_group_sample_name,batch,condition
CCA-N22-C,/data/project/stemcell/shannc/CCA/RNASeq/CCA-N22-C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA-N22-C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA-N22-C-C,CCA-N22-C_tumor,NA,NA
CCA-N23-C,/data/project/stemcell/shannc/CCA/RNASeq/CCA-N23-C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA-N23-C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA-N23-C-C,CCA-N23-C_tumor,NA,NA
CCA-N24-C,/data/project/stemcell/shannc/CCA/RNASeq/CCA-N24-C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA-N24-C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA-N24-C-C,CCA-N24-C_tumor,NA,NA
CCA-N4-C,/data/project/stemcell/shannc/CCA/RNASeq/CCA-N4-C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA-N4-C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA-N4-C-C,CCA-N4-C_tumor,NA,NA
CCA-N5-C,/data/project/stemcell/shannc/CCA/RNASeq/CCA-N5-C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA-N5-C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA-N5-C-C,CCA-N5-C_tumor,NA,NA
CCA_R11C,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R11C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R11C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA_R11C-C,CCA_R11C_tumor,NA,NA
CCA_R12C,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R12C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R12C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA_R12C-C,CCA_R12C_tumor,NA,NA
CCA_R13C,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R13C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R13C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA_R13C-C,CCA_R13C_tumor,NA,NA
CCA_R16C,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R16C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R16C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA_R16C-C,CCA_R16C_tumor,NA,NA
CCA_R4C,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R4C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R4C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA_R4C-C,CCA_R4C_tumor,NA,NA
CCA_R9C,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R9C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R9C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA_R9C-C,CCA_R9C_tumor,NA,NA
CCA_R_15_C,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R_15_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R_15_C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA_R_15_C-C,CCA_R_15_C_tumor,NA,NA
CCA_R_18_C,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R_18_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R_18_C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA_R_18_C-C,CCA_R_18_C_tumor,NA,NA
CCA_R_19_C,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R_19_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R_19_C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA_R_19_C-C,CCA_R_19_C_tumor,NA,NA
CCA_R_20_C,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R_20_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R_20_C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA_R_20_C-C,CCA_R_20_C_tumor,NA,NA
CCA_R_2_C,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R_2_C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/CCA_R_2_C_2.fastq.gz,tumor,1,ILLUMINA,D-CCA_R_2_C-C,CCA_R_2_C_tumor,NA,NA
KBN-C,/data/project/stemcell/shannc/CCA/RNASeq/KBN-C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/KBN-C_2.fastq.gz,tumor,1,ILLUMINA,D-KBN-C-C,KBN-C_tumor,NA,NA
KSWP-C,/data/project/stemcell/shannc/CCA/RNASeq/KSWP-C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/KSWP-C_2.fastq.gz,tumor,1,ILLUMINA,D-KSWP-C-C,KSWP-C_tumor,NA,NA
KYUAN-C,/data/project/stemcell/shannc/CCA/RNASeq/KYUAN-C_1.fastq.gz,/data/project/stemcell/shannc/CCA/RNASeq/KYUAN-C_2.fastq.gz,tumor,1,ILLUMINA,D-KYUAN-C-C,KYUAN-C_tumor,NA,NA
